Country Code,Country Name,Indicator Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
EST,Estonia,CO2 emissions (kt),14858.684,15570.082,14888.02,17124.89,17282.571,16754.523,16175.136999999999,18357.002,17018.547,14312.301000000001,17781.283,18096.645,17146.892,19332.424,18173.652,16362.153999999999
ETH,Ethiopia,CO2 emissions (kt),3549.656,4352.729,4521.411,4987.12,5295.148,5119.1320000000005,5504.1669999999995,6024.880999999999,6629.936,6673.94,6527.26,7135.982,8518.440999999999,10410.613000000001,12434.796999999999,13718.247
FIN,Finland,CO2 emissions (kt),52196.078,56552.474,61348.91,68671.909,67186.774,54777.64599999999,65774.979,63739.794,56966.845,53395.187000000005,61928.295999999995,56662.484000000004,49013.122,47164.954000000005,47230.96,42606.873
FJI,Fiji,CO2 emissions (kt),843.41,1056.096,891.081,1048.762,1353.1229999999998,1096.433,1217.444,1158.772,894.748,792.072,1221.111,1089.099,1059.763,1338.455,1646.483,2156.196
FRO,Faroe Islands,CO2 emissions (kt),689.3960000000001,762.7360000000001,726.066,733.4,748.068,722.3989999999999,678.395,689.3960000000001,630.724,575.719,630.724,568.385,590.387,678.395,597.721,608.722
FSM,"Micronesia, Fed. Sts.",CO2 emissions (kt),124.678,168.68200000000002,143.013,143.013,143.013,121.01100000000001,121.01100000000001,132.012,110.01,146.68,102.676,117.344,124.678,135.679,135.679,143.013
GAB,Gabon,CO2 emissions (kt),4693.76,4800.103,4572.749,4642.4220000000005,4686.4259999999995,4888.111,4173.045999999999,4118.041,4180.38,4253.72,4800.103,4950.45,5056.793,5280.48,5324.484,5262.145
GBR,United Kingdom,CO2 emissions (kt),541784.582,545862.286,528642.054,540006.087,539239.684,542580.321,541458.219,528425.701,521652.75200000004,471389.18299999996,492676.11799999996,447440.006,468261.232,455940.112,419743.155,405038.485
GEO,Georgia,CO2 emissions (kt),4536.079000000001,3769.676,3388.308,3773.343,4323.393,5067.794,6149.559,6420.9169999999995,5364.821,6241.234,6314.5740000000005,7990.393,8445.101,8203.079,8980.483,9798.224
GHA,Ghana,CO2 emissions (kt),6288.905,6919.629,7422.008000000001,7631.026999999999,7348.668000000001,6992.969,9358.184000000001,9827.56,9138.164,7708.034000000001,9955.905,11525.381000000001,14862.351,14682.668,15265.721000000001,16552.838
GIB,Gibraltar,CO2 emissions (kt),333.69699999999995,344.69800000000004,348.365,355.699,385.035,399.70300000000003,418.038,414.371,425.37199999999996,462.042,465.709,451.041,462.042,491.37800000000004,528.048,579.386
GIN,Guinea,CO2 emissions (kt),1642.816,1719.8229999999999,1804.164,1881.171,1943.51,1826.1660000000002,1892.172,1969.1789999999999,2189.199,2262.5389999999998,2603.57,2779.586,2581.5679999999998,2299.209,2383.55,2702.579
GMB,"Gambia, The",CO2 emissions (kt),275.025,300.694,300.694,300.694,322.69599999999997,326.363,352.032,352.032,366.7,381.36800000000005,432.70599999999996,447.374,454.708,432.70599999999996,513.38,524.381
