Country Code,Country Name,Indicator Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
GHA,Ghana,Urban population,8469009.0,8811787.0,9166549.0,9534970.0,9919284.0,10320071.0,10739261.0,11176323.0,11628983.0,12092963.0,12566488.0,13047760.0,13537131.0,14034999.0,14543041.0,15062521.0
GIB,Gibraltar,Urban population,31077.0,31602.0,32102.0,32555.0,32928.0,33219.0,33417.0,33517.0,33559.0,33565.0,33585.0,33612.0,33646.0,33692.0,33725.0,33736.0
GIN,Guinea,Urban population,2543831.0,2621416.0,2697744.0,2774555.0,2854185.0,2938478.0,3028543.0,3124051.0,3224124.0,3327236.0,3432521.0,3539417.0,3648853.0,3762921.0,3884554.0,4017350.0
GMB,"Gambia, The",Urban population,630758.0,663376.0,697679.0,733010.0,767539.0,803054.0,839503.0,877007.0,915778.0,956057.0,998129.0,1042059.0,1087857.0,1135418.0,1184631.0,1235413.0
GNB,Guinea-Bissau,Urban population,435388.0,449391.0,464198.0,479789.0,496132.0,513185.0,530989.0,549570.0,569008.0,589354.0,610730.0,633136.0,656565.0,680895.0,706001.0,731762.0
GNQ,Equatorial Guinea,Urban population,297586.0,321088.0,346132.0,372907.0,401728.0,432782.0,466234.0,502051.0,540134.0,580251.0,622236.0,666007.0,711522.0,748581.0,786525.0,825196.0
GRC,Greece,Urban population,7857551.0,7919906.0,7991509.0,8052786.0,8114802.0,8180275.0,8246206.0,8308341.0,8371303.0,8433780.0,8484693.0,8511794.0,8505100.0,8482139.0,8463623.0,8445266.0
GRD,Grenada,Urban population,36709.0,37086.0,37218.0,37345.0,37462.0,37568.0,37659.0,37745.0,37834.0,37948.0,38100.0,38296.0,38540.0,38829.0,39137.0,39452.0
GRL,Greenland,Urban population,45859.0,46122.0,46473.0,46739.0,46997.0,47175.0,47220.0,47213.0,47196.0,47360.0,48018.0,48217.0,48402.0,48322.0,48308.0,48298.0
GTM,Guatemala,Urban population,5253870.0,5421506.0,5588466.0,5750534.0,5911891.0,6074432.0,6238013.0,6402661.0,6568347.0,6734651.0,6902116.0,7072123.0,7243152.0,7418337.0,7597137.0,7779195.0
GUM,Guam,Urban population,144656.0,145817.0,146699.0,147363.0,147878.0,148313.0,148696.0,149033.0,149360.0,149685.0,150035.0,150411.0,150839.0,151366.0,152078.0,153006.0
GUY,Guyana,Urban population,214262.0,213174.0,212399.0,210928.0,209284.0,207597.0,205856.0,204108.0,202425.0,200904.0,199605.0,198535.0,199425.0,200451.0,201639.0,202917.0
HKG,"Hong Kong SAR, China",Urban population,6665000.0,6714300.0,6744100.0,6730800.0,6783500.0,6813200.0,6857100.0,6916300.0,6957800.0,6972800.0,7024200.0,7071600.0,7150100.0,7178900.0,7229500.0,7291300.0
